Date,Description,Debit/Credit,Balance,Name,Additional information,IMAD/trace ID,Bill due date,Bill number,Bill notes
2026-05-22,Transfer to FirstBank ( (0283),-319.05,0.0,,,,,,
2026-02-04,"CHASE CREDIT CRD, AUTOPAYBUS",-103.33,319.05,,,,,,
2026-01-23,"CO SECRETARY STATE FEE, DENVER, CO",-25.0,422.38,,,,,,
2026-01-05,"CHASE CREDIT CRD, AUTOPAYBUS",-78.47,447.38,,,,,,
